last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
12-05-2025 09:15,35.7,32.1,31,-870900,-571.7,46575,13500,N,143625,N,50.72,24594.3,24631,12-05-2025 09:15,28.65,25.55,24.85,-32700,-212.2,34350,-154200,N,29025,N,25.04,12-05-2025 09:15,1.75,0.75,0.65,-13575,-49,33900,170700,N,70200,N,-12.59
12-05-2025 09:20,20.2,20.7,18.1,-572925,-865.3,55800,21825,N,132150,N,21.49,24630.9,24650,12-05-2025 09:20,18.6,18.1,18.65,5400,-368.9,56625,-23025,Y,-4425,Y,13.63,12-05-2025 09:20,0.7,0.45,0.5,-26625,-73.15,55650,38775,N,111600,Y,-1.09
12-05-2025 09:25,16.8,18.7,18.8,59850,-926.7,57000,37725,N,30150,N,8.21,24649.9,24666.1,12-05-2025 09:25,8.15,6.9,6.95,-34050,-369.3,58050,-22725,N,1425,N,5.71,12-05-2025 09:25,-7.2,-7,-7.05,-21150,-70.9,57150,-17100,Y,125775,N,-2.01
12-05-2025 09:30,30.5,34,30.2,-191175,-1217.9,48300,12450,N,-11325,Y,8.48,24669.5,24700,12-05-2025 09:30,31.2,31.4,31.45,-41850,-386.35,71325,-8025,N,-3600,Y,6.87,12-05-2025 09:30,-2.25,-2.25,-2.35,48150,-68.55,61650,28800,YES,70125,N,-1.89
12-05-2025 09:35,-5,-4.9,-4.7,271650,-1135.6,58200,-7800,YES,64875,YES,7.5,24700,24695.1,12-05-2025 09:35,-10.8,-10.2,-10.75,-12150,-406.6,60675,-13725,YES,-1500,N,6.77,12-05-2025 09:35,2.85,2.85,2.8,-7275,-67.8,69450,73050,YES,-1200,YES,-1.03
12-05-2025 09:40,-18.1,-18.2,-18,61200,-1194.8,53700,-38175,YES,72300,N,6.7,24695.1,24677,12-05-2025 09:40,-8.15,-8,-8.05,46350,-342.2,42075,-2475,N,-2250,Y,2.1,12-05-2025 09:40,4.85,4.85,4.85,-85800,-73.6,65925,-18975,Y,-25350,YES,-0.24
12-05-2025 09:45,19.1,17.8,18.5,675,-1308.3,38850,12900,Y,16425,N,1.81,24676.9,24696,12-05-2025 09:45,12.65,12.3,12.3,-1200,-348.65,43650,8100,N,-450,N,1.21,12-05-2025 09:45,-6.9,-6.85,-6.85,71475,-75.5,56475,-48975,Y,79875,Y,-0.33
12-05-2025 09:50,74.4,71.5,72.1,261375,-1477.3,54750,65850,Y,-144600,Y,8.68,24694.7,24769.1,12-05-2025 09:50,63.65,63.8,63.6,-12600,-432.25,46725,3225,N,-35625,Y,5.51,12-05-2025 09:50,-0.95,-0.85,-0.8,34425,-67.95,64800,-34050,N,1725,YES,-0.92
12-05-2025 09:55,48.1,48.1,48.3,40800,-1041.9,53025,-28950,YES,7500,YES,11.96,24768.2,24816.3,12-05-2025 09:55,51.85,52.95,52.8,-8700,-570,58125,-17250,YES,-12900,YES,5.64,12-05-2025 09:55,0.05,0.3,0.25,-104775,-68.7,71175,-39750,Y,27975,Y,-0.7
12-05-2025 10:00,-34.1,-34,-30.6,77100,-1667.9,52800,9225,Y,57675,YES,8.78,24816.3,24787.5,12-05-2025 10:00,-34.7,-33.75,-34.4,16725,-566.8,55350,-20025,YES,14400,YES,3.73,12-05-2025 10:00,-0.25,-0.1,-0.15,103275,-69.35,71475,12525,YES,23025,N,-0.41
12-05-2025 10:05,-7.5,-9.9,-14.6,45300,-1367.5,39675,4875,N,15300,N,2.26,24787.2,24777.3,12-05-2025 10:05,-15.25,-15.6,-15.4,2475,-469.6,57150,12900,Y,19500,N,2.78,12-05-2025 10:05,1.15,1.15,1.15,16125,-68.1,62025,5250,N,7725,N,-0.16
12-05-2025 10:10,-2.3,-4,-4.6,125475,-1394.5,47325,23775,N,-3375,Y,2.15,24777.3,24775,12-05-2025 10:10,1.75,0.7,0.05,12975,-427.85,45450,1350,YES,2025,Y,2.66,12-05-2025 10:10,3.05,3.2,3.15,-133875,-73.25,64275,22125,N,-92925,YES,-0.07
12-05-2025 10:15,4.3,10.1,8.3,-50175,-1607.6,46275,675,YES,45375,YES,2.71,24779.9,24788.3,12-05-2025 10:15,10.65,10.85,11.15,5775,-452.6,37950,-12075,YES,-8850,Y,1.76,12-05-2025 10:15,1.2,1.25,1.15,123675,-75.5,59475,100050,YES,4725,Y,-0.03
12-05-2025 10:20,24.7,24,25.5,-75075,-1664.6,44100,48675,Y,43800,N,1.98,24788.3,24813,12-05-2025 10:20,18.75,18.05,17.85,-18525,-436.75,43125,375,N,-6750,N,1.74,12-05-2025 10:20,-2.4,-2.4,-2.45,6225,-74.55,59325,47625,N,-5250,YES,-0.01
12-05-2025 10:25,-25,-22.2,-19.5,22125,-1297,44325,-41700,YES,26925,N,2.45,24815,24790,12-05-2025 10:25,-19.55,-18.85,-18.8,6000,-420.8,34650,-9375,YES,2625,N,1.09,12-05-2025 10:25,0.4,0.25,0.25,138000,-66.75,56025,-21000,Y,12075,N,-0.06
12-05-2025 10:30,-7.5,-6.1,-6.6,-169575,-1310,42525,-12000,Y,29925,N,1.48,24791.5,24782.1,12-05-2025 10:30,-5.7,-4.6,-4.65,30225,-292.9,34950,9450,N,16275,N,0.53,12-05-2025 10:30,0.65,0.7,0.65,-110100,-59.55,52575,-116475,Y,5925,N,-0.05
12-05-2025 10:35,-5.5,-2.2,-3,-42750,-1166.7,39675,12225,Y,12750,N,1.21,24783,24779.8,12-05-2025 10:35,-3.85,-2.4,-2.65,11550,-303.05,29025,-3225,YES,6225,N,0.51,12-05-2025 10:35,0.45,0.25,0.3,-86700,-64.95,55725,1275,YES,30375,Y,-0.03
12-05-2025 10:40,13.1,13.1,20,-66825,-1598.5,47100,9450,N,-8775,Y,1.87,24780,24800,12-05-2025 10:40,12.25,11.45,11.6,-23775,-306.1,31800,-2400,N,-15075,Y,0.75,12-05-2025 10:40,-0.9,-0.95,-1,64575,-66.55,55425,-3375,Y,-18825,YES,0
