last_traded_time,n_buy_corr,n_sell_corr,n_tb_ts,ce_buy_corr,ce_sell_corr,ce_tb_ts,pe_buy_corr,pe_sell_corr,pe_tb_ts,n_buy_diff,n_sell_diff,ce_buy_diff,ce_sell_diff,pe_buy_diff,pe_sell_diff,percentage
12-05-2025 09:15,0.4501362994337321,0.7676392106021889,0.6436465564037964,-0.9032152541407465,0.7663996415901615,-0.9107375381684547,-0.7166141548436386,-0.6765574756047618,0.8123756188683662,9225.0,151125.0,-266100.0,115050.0,320700.0,192975.0,73.85913055173164
12-05-2025 09:20,0.6241265905280858,-0.4768643795911895,-0.45374632452919583,-0.031471550172564304,-0.13463650678925573,-0.4611013567715413,0.6253688635070221,-0.2698592455051122,0.3729778142532813,-7500.0,53250.0,-76425.0,-27675.0,65175.0,75825.0,38.335029240524975
12-05-2025 09:25,0.4145177958251279,-0.49976686858391756,-0.25097773199997064,0.2816351332707774,-0.43896742025391955,-0.5043455992430136,0.19666877406816266,-0.8625722878251821,0.15640915549799222,31650.0,-6375.0,-675.0,24525.0,-17550.0,179475.0,40.06511962853404
12-05-2025 09:30,0.6931437168535797,-0.8306967652721452,-0.34851578457454446,0.8696450413259825,-0.917726331445047,-0.8680044963736517,0.5661447461674405,-0.7312752015509751,-0.43263536097130156,16350.0,-17400.0,24150.0,-73350.0,-33000.0,121425.0,69.53097160594075
12-05-2025 09:35,-0.44508749550495075,-0.837836862643616,0.32645673270130243,0.7086381895283042,-0.8657234517021163,-0.7013736845877376,0.9042128570366962,0.4157835086762664,0.5655639612394274,29025.0,31800.0,-40350.0,42000.0,89250.0,58275.0,64.1186304846713
12-05-2025 09:40,0.5411722683763539,-0.7906723879705664,-0.3560736488742784,0.8756760757329989,-0.5066722988899657,-0.4902732063948399,0.8069515930478097,-0.8735880647703136,-0.8371870585319433,-37425.0,16050.0,-46425.0,-3825.0,58125.0,-140100.0,67.53629558432299
12-05-2025 09:45,0.5476878281491181,0.4285684335986795,0.40595844960367444,0.47394459693193713,-0.637356027883876,-0.6668346559938988,0.5243853870414263,-0.9284429144715186,-0.5407427868450712,7575.0,10125.0,-5325.0,7275.0,-25650.0,97050.0,57.26578978354667
12-05-2025 09:50,0.8214159473206075,-0.9311727871579611,-0.7452774299117669,-0.8535716964145861,-0.7448505466596347,0.33312872612048494,-0.4460009225953038,0.7287385576390223,-0.7975175396870046,53700.0,-57525.0,3336675.0,58800.0,-313800.0,337125.0,71.12971281673747
12-05-2025 09:55,-0.8187427821790436,-0.7428302899579651,0.44506425808198186,-0.868596187567252,-0.9070142012533429,0.768863544179009,0.022538980294241572,-0.7727489334987375,0.3644456065773026,-31800.0,-7125.0,-182325.0,-59475.0,-9225.0,89400.0,63.453830928765285
12-05-2025 10:00,0.002826803919488754,-0.8187526585007532,0.0833502677466734,0.7462192293688961,-0.867823594334307,-0.494311792598202,0.8146878293146103,0.26181618194121675,0.5021729221672014,13125.0,50400.0,-60450.0,83325.0,59250.0,119550.0,51.02179199879275
12-05-2025 10:05,0.29898713359343215,-0.7853089086195361,-0.3239375640700918,0.8057519732376759,-0.8554236882687751,-0.7039725009246882,0.5349672801810467,0.37235874869081026,0.5916595569369719,-6000.0,12825.0,-24300.0,46725.0,49950.0,66450.0,58.5818594947003
12-05-2025 10:10,0.5232261345049911,0.37483336340872686,0.014350358369185209,0.2043525861120687,-0.5899176448354913,0.3144060426734916,0.10121617532212991,-0.9420717518766913,-0.017235276079587625,14400.0,750.0,23475.0,26700.0,-38550.0,-170025.0,34.24010370202627
12-05-2025 10:15,0.16694310719570057,-0.2465511072157661,0.05991267738872758,0.039353625032335054,-0.5834574737785011,-0.548010783514556,0.60341145561352,-0.5924434767833278,0.08292686602866454,-525.0,7575.0,-56025.0,18825.0,58950.0,12900.0,32.47789525056776
12-05-2025 10:20,0.7749851887715159,0.35176063179174955,0.6662762821615885,-0.306100296085499,-0.7773858332102433,-0.1778346695230565,0.3165624444067917,-0.8712018638553984,-0.1344416994751436,70275.0,6825.0,-16125.0,-58800.0,-8175.0,74475.0,48.628321214233175
12-05-2025 10:25,0.76942245787542,0.08856106290133635,0.1566484055569455,0.8437783701521699,-0.7160948746636296,-0.5204071682585172,0.7759778007902588,0.45532138571554764,0.46673069669603173,-21375.0,-4800.0,-48600.0,20025.0,29175.0,71550.0,53.25491358455396
12-05-2025 10:30,-0.05216869591508516,-0.7124793491979591,0.046505975894358696,0.7180564765431373,-0.8696675342142244,-0.5221944909388884,0.33341308268019765,0.6137708189796709,-0.34233434627161485,6075.0,12975.0,-9300.0,19575.0,-1350.0,21675.0,46.784341895945964
12-05-2025 10:35,-0.1250379653170297,-0.8675132767842875,0.22376897834683918,-0.18783150087899794,-0.941932991377466,0.35277276213944503,0.414045425052224,-0.5538090994497933,0.19140370074063742,6975.0,7950.0,25275.0,24075.0,30300.0,-23475.0,42.86795222318578
12-05-2025 10:40,0.683133470745946,-0.2735085512029947,-0.5812347947324229,0.7150916372187048,-0.6185544340032141,-0.5022161236867627,0.7461372389770475,0.04655359449517416,0.26582242472403966,4050.0,1650.0,12300.0,-3900.0,-7425.0,-61275.0,49.24724744207009
12-05-2025 10:45,0.5560671467844649,0.500954314809372,0.037235757470950606,0.4552916237523499,-0.8596869558785014,-0.21700237151748833,0.6951199142170712,-0.8146291442622519,-0.8149210490945105,-10350.0,-5850.0,4650.0,42600.0,7500.0,-8700.0,55.01009197541067
12-05-2025 10:50,-0.36226504302440327,-0.47106028351374135,0.3407263023986847,0.4597859262242278,-0.5646881360009929,0.2392455330575582,-0.0760103247984296,-0.5790577799547739,0.6816207525071356,6900.0,9075.0,11250.0,7575.0,92625.0,30300.0,41.93844534977719
12-05-2025 10:55,0.7471583607249003,-0.013142272917126769,0.021273003153299972,0.7402056996563402,-0.6630700889730845,-0.5350116400475756,0.6145744016392907,-0.846686149981492,-0.46839913664147725,-225.0,-7200.0,-24300.0,2025.0,24375.0,-243750.0,51.66134170816208
12-05-2025 11:00,0.09908748931940331,-0.46120541931319226,-0.34032215569304797,0.6225013543251406,-0.5976360837607859,-0.34137614956103723,0.36106235538125686,-0.27593311616991895,0.42037572822799113,8925.0,-2550.0,-3375.0,27525.0,10275.0,4200.0,39.105553908353045
12-05-2025 11:05,-0.42492549221783726,-0.5330846194614447,0.4765294994061775,0.6422663045414052,-0.9023870772528085,-0.5909727762509052,0.5414775721343817,-0.7039204214646233,0.03744435016794061,-7500.0,-5475.0,17175.0,-92475.0,-26100.0,78300.0,53.92231236552804
12-05-2025 11:10,0.1466669855882858,-0.5304733744574118,-0.43965050991466914,0.17305956683921922,-0.7334789117508057,0.11629909735679458,0.8819200099461597,-0.8144930391216417,-0.861456063988686,-6825.0,8025.0,-26550.0,-14325.0,52725.0,-35325.0,52.1944173218186
12-05-2025 11:15,-0.15359777381009768,-0.7744262315005576,-0.0323882726833319,0.7405627287437295,-0.9072586764602694,-0.8610161549886116,-0.0353831323962194,-0.7444679380902389,0.1103611365785743,-150.0,9975.0,-13050.0,26625.0,-15225.0,-16125.0,48.43846716946255
12-05-2025 11:20,0.3798308939881728,-0.9137124499709557,-0.4534377203749721,0.3349574009878557,-0.944474813739987,-0.34803357804154217,-0.30937696620020705,-0.5948216668721774,0.06881401843572929,10200.0,-20250.0,3675.0,-88275.0,-16425.0,27450.0,48.30510565123999
12-05-2025 11:25,0.4803531517246105,-0.6030537212035477,-0.304849281617615,0.39095275165100496,-0.6733852881922485,-0.12268886147668816,0.864220003586254,-0.5988453842454874,-0.382392448084234,-6450.0,-5775.0,-12975.0,-75.0,-82125.0,49425.0,49.119343242018786
12-05-2025 11:30,0.29932059953425466,-0.7064325564371241,0.15476430343455902,0.049617307090540685,-0.3892640966418982,-0.5177699250888501,0.8217295507142215,0.37466487280748306,0.48472620056557997,-675.0,-6975.0,-7275.0,7875.0,27675.0,14700.0,42.20321569238346
12-05-2025 11:35,0.7271104387315009,-0.8768737064594679,-0.7027193794233892,0.8926711675343203,0.03279221439593812,0.3157881408660247,0.2154475830452581,-0.877560336473736,-0.17726291984054937,-1950.0,9900.0,-31875.0,2175.0,7200.0,-60225.0,53.535843186335384
12-05-2025 11:40,-0.21941713571474342,-0.6668927449953862,0.2953532114517925,0.7731261339636807,-0.6884636292039609,-0.41273223342133514,0.27803524722046447,-0.5662530715251026,0.05042000202743601,1425.0,8175.0,4950.0,9075.0,15225.0,48600.0,43.89659343915447
12-05-2025 11:45,-0.2389785524909943,-0.5666802047239462,0.5626378963573284,0.8756436912063127,-0.7153339626941196,-0.6380968431475941,-0.08744178903349147,-0.614574751747489,0.07718438060204943,7350.0,10050.0,-16275.0,32175.0,4800.0,-65175.0,48.62857857781473
12-05-2025 11:50,0.0036152399013133934,-0.1591016458046838,-0.21155253296603077,0.598641708365106,-0.264188209624412,0.044065166581454526,0.6749165746953967,-0.3218223201326839,-0.14304964719107743,13875.0,-4425.0,13050.0,75.0,2175.0,56400.0,26.899478280690648
12-05-2025 11:55,0.3560702875927203,-0.6302785986108311,-0.13846822923928395,-0.007835679920636386,-0.9600678456846393,-0.022042624043765616,0.7388295136676538,-0.3241252354915823,0.10307131035745257,-1800.0,6900.0,-5475.0,27975.0,28800.0,-52200.0,36.45321471787295
12-05-2025 12:00,-0.0007594870163232859,-0.0800581579569033,-0.3099304045992692,0.5311255924274613,0.11428106428559472,0.4209709869798402,0.8631951444429651,-0.37149681447292726,-0.4406165814410266,-7350.0,8025.0,-13650.0,7725.0,-28275.0,-5025.0,34.80482481802568
12-05-2025 12:05,0.22903470226377512,-0.5115239974689205,-0.05472269230652321,0.6633809136737346,-0.6894108223282882,-0.5692426066949012,0.7705887109433698,0.022686721248590752,0.10766366429081269,825.0,10425.0,3675.0,-3075.0,24075.0,27750.0,40.20283145798796
12-05-2025 12:10,0.7927108038264937,-0.10851610324756032,-0.16511777077864037,0.7739531489375636,-0.05475574577990056,-0.16713209549432462,0.4054137893199457,-0.04510038828582997,0.34403522331044223,5625.0,-975.0,9150.0,4500.0,20325.0,24675.0,31.74150076645223
12-05-2025 12:15,0.25825236119270634,-0.10587863599072292,-0.29163219349949066,0.6537073456426034,-0.45274497782638823,-0.3993899099504304,0.603815062541276,-0.0678575916528315,-0.10476862570518172,-2550.0,-4050.0,75.0,7425.0,40275.0,-12675.0,32.644963377795904
12-05-2025 12:20,0.7352548867086106,0.10395810984847911,-0.1338112995163259,0.8241154879192205,-0.7667774801396106,-0.6337215324406403,0.15384760743757714,-0.8450549270365231,-0.037701994081928945,-8775.0,-2025.0,-14400.0,7200.0,5550.0,-109875.0,47.04714805698795
12-05-2025 12:25,0.7060685402911248,0.03368834767942263,0.19953015765799426,0.009110276363022881,-0.10294566926496139,0.2967435413096225,0.40437154123579,-0.5670491984774331,0.15506556993588685,3525.0,1575.0,29475.0,-2550.0,-55200.0,-19500.0,27.495253802391755
12-05-2025 12:30,-0.511612749371165,-0.8635197916741959,0.5190512962248782,-0.787424002918124,-0.8501694043124776,0.42472194310308586,0.5106817605154765,-0.40666084152735904,0.4372288095125339,-7725.0,-57975.0,-66750.0,-136050.0,-115800.0,95025.0,59.0118955462144
12-05-2025 12:35,0.7257116184743376,-0.5853279758959029,-0.6425180850402286,0.2000493346809069,-0.7424768562071385,-0.4552552903544845,0.5055753402503751,-0.453375643162901,-0.25577961300435365,26400.0,-6375.0,-1575.0,-2550.0,-7200.0,63825.0,50.734108411895875
12-05-2025 12:40,0.6298305314173248,-0.919778700837269,-0.6025655201279932,0.4536806452917083,-0.6058256838984851,-0.5194887849417158,0.32223338945780705,-0.34391927662478167,0.4893812970344938,-14700.0,16425.0,-12600.0,10575.0,46125.0,45075.0,54.29670921812865
12-05-2025 12:45,0.10986477476542149,0.23123204818784548,-0.19701718700640006,0.6993806999705486,-0.6677986096301353,-0.6568424466849323,0.7722302520331273,-0.11392515799088296,-0.1666637465663698,-6525.0,525.0,-15825.0,6675.0,31200.0,-34650.0,40.16616580928515
