last_traded_time,ltp_1,bid_price_1,ask_price_1,bid_ask_diff_1,bid_ask_pr_diff_1,last_traded_qty_1,tot_buy_qty_1,tot_buy_sig_1,tot_sell_qty_1,tot_sell_sig_1,avg_trade_price_1,high_1,low_1,ltp_2,bid_price_2,ask_price_2,bid_ask_diff_2,bid_ask_pr_diff_2,last_traded_qty_2,tot_buy_qty_2,tot_buy_sig_2,tot_sell_qty_2,tot_sell_sig_2,avg_trade_price_2,high_2,low_2,ltp_3,bid_price_3,ask_price_3,bid_ask_diff_3,bid_ask_pr_diff_3,last_traded_qty_3,tot_buy_qty_3,tot_buy_sig_3,tot_sell_qty_3,tot_sell_sig_3,avg_trade_price_3,high_3,low_3,final_signal,result
2025-06-20 09:15:00,6.299999999999272,9.599999999998545,8.30000000000291,110550,-1430.199999999255,53925,62325.0,N,81150.0,N,22.460000000002765,24899.0,24867.7,-6.049999999999983,-6.650000000000006,-6.950000000000017,74175,-189.44999999996799,44100,-1577475.0,N,215250.0,N,8.009999999999991,226.2,209.55,-7.450000000000017,-8.649999999999977,-8.849999999999994,-13650,-116.55000000000291,45150,-1659900.0,N,169500.0,N,-18.180000000000007,143.6,128.95,no signal,neutral
2025-06-20 09:20:00,-12.30000000000291,-11.799999999999272,-14.400000000001455,-18375,-1447.699999999255,48975,55575.0,N,61350.0,N,-3.5900000000001455,24894.9,24848.0,-13.550000000000011,-13.950000000000017,-13.799999999999983,-9525,-196.24999999998545,50700,113250.0,Y,111525.0,N,-5.320000000000022,224.05,190.9,1.950000000000017,2.4499999999999886,2.4000000000000057,63450,-133.85000000000582,54150,87300.0,YES,141150.0,N,0.6900000000000261,146.15,130.55,no signal,neutral
2025-06-20 09:25:00,-15.700000000000728,-15.69999999999709,-17.0,-148650,-1518.0999999977648,51300,21450.0,N,49875.0,N,-6.599999999998545,24879.3,24835.7,-16.099999999999994,-15.199999999999989,-15.599999999999994,19050,-190.60000000002037,52875,-67050.0,YES,163200.0,YES,-4.1699999999999875,209.65,186.4,5.149999999999977,4.799999999999983,4.899999999999977,31050,-140.85000000000582,60600,125025.0,YES,15000.0,N,0.9900000000000091,152.95,131.55,SELL,neutral
2025-06-20 09:30:00,2.7000000000007276,0.7000000000007276,0.0,-118650,-976.9000000003725,45000,55425.0,Y,15750.0,N,-3.680000000000291,24864.5,24832.1,0.9499999999999886,0.3499999999999943,0.4000000000000057,-52200,-184.00000000001455,50325,159600.0,Y,95625.0,N,-3.200000000000017,196.65,180.05,1.5500000000000114,2.0,1.8999999999999773,-19575,-144.85000000000582,58050,56175.0,N,110550.0,Y,0.6700000000000159,150.7,133.8,BUY,win
2025-06-20 09:35:00,0.4000000000014552,0.2999999999992724,0.5,80925,-903.6999999992549,45225,42525.0,N,75.0,Y,-2.600000000002183,24864.9,24844.4,-2.5,-2.8000000000000114,-2.6500000000000057,-27525,-186.55000000001746,56400,-11550.0,YES,131025.0,YES,-1.5600000000000023,198.7,185.8,-2.3499999999999943,-1.9000000000000057,-1.8000000000000114,5475,-141.90000000000873,55050,97350.0,YES,85575.0,N,-0.37999999999999545,143.2,131.9,SELL,loss
2025-06-20 09:40:00,43.5,43.70000000000073,42.89999999999782,-69900,-1130.5999999996275,42825,19950.0,N,-29625.0,Y,0.7700000000004366,24894.0,24845.1,24.25,25.44999999999999,25.599999999999994,-17250,-196.35000000000582,52725,59250.0,Y,-192375.0,Y,0.18999999999999773,213.8,184.85,-16.150000000000006,-16.549999999999983,-16.750000000000014,74775,-131.0500000000029,56550,-211575.0,Y,172350.0,Y,-1.740000000000009,141.0,121.25,BUY,neutral
2025-06-20 09:45:00,18.899999999997817,23.099999999998545,24.900000000001455,-79575,-1491.6000000014901,56850,5775.0,N,26850.0,YES,9.029999999998836,24924.0,24894.2,19.25,18.80000000000001,19.0,5700,-227.14999999999418,56925,17925.0,N,-188025.0,N,4.900000000000006,239.6,212.15,-7.5,-7.349999999999994,-7.349999999999994,-12900,-114.70000000000437,59325,3675.0,YES,36075.0,N,-2.640000000000015,121.9,113.1,no signal,neutral
2025-06-20 09:50:00,-18.200000000000728,-19.799999999999272,-22.700000000000728,-183375,-1034.1999999973923,42525,28725.0,Y,3900.0,N,1.5200000000004366,24920.0,24886.4,-17.94999999999999,-16.25,-16.19999999999999,11625,-224.60000000000582,54750,10650.0,N,44400.0,YES,0.8199999999999932,234.5,208.2,1.5,1.0,0.9500000000000028,29550,-123.0,63300,12675.0,N,123000.0,Y,-1.3799999999999955,120.45,113.7,no signal,neutral
2025-06-20 09:55:00,-2.7000000000007276,-5.200000000000728,-2.7999999999992724,-41850,-1005.2000000011176,32850,-12525.0,YES,69675.0,YES,0.5300000000024738,24902.3,24876.6,-6.25,-6.300000000000011,-6.349999999999994,23475,-223.3000000000029,56400,-81675.0,YES,48975.0,N,0.0,217.3,200.2,0.5999999999999943,0.5,0.3999999999999915,33975,-127.05000000000291,64875,44025.0,YES,60300.0,N,-1.259999999999991,120.5,112.5,SELL,loss
2025-06-20 10:00:00,12.30000000000291,14.900000000001455,12.799999999999272,73200,-883.0999999996275,29775,15675.0,Y,-3900.0,Y,0.6599999999998545,24909.6,24883.4,9.799999999999983,9.599999999999994,9.599999999999994,-2625,-234.15000000000873,61350,34725.0,Y,-2250.0,Y,0.25,219.75,205.25,-5.549999999999997,-5.25,-5.299999999999997,-35400,-122.69999999999709,62775,-84150.0,Y,60075.0,N,-1.0500000000000114,119.0,109.5,BUY,win
2025-06-20 10:05:00,3.7000000000007276,3.1999999999970896,0.8999999999978172,12225,-1000.7999999988824,37050,6975.0,N,13500.0,N,0.8099999999976717,24920.0,24900.0,1.8000000000000114,1.5,1.5500000000000114,-45750,-234.54999999998836,54150,-17625.0,YES,27825.0,YES,0.75,228.5,213.65,-0.5500000000000114,-0.5500000000000114,-0.6500000000000057,101025,-124.79999999999563,61950,120300.0,YES,10350.0,N,-1.170000000000016,111.75,105.6,SELL,loss
