last_traded_time,ltp,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2025-04-01 09:15:00,291.6,31425,-276.29999999998836,43875,1213575.0,N,54075.0,N,-22.480000000000018
2025-04-01 09:20:00,281.25,-750,-233.04999999998836,42975,3525.0,N,12225.0,N,-2.660000000000025
2025-04-01 09:25:00,248.0,-4500,-211.65000000000873,41325,-13350.0,Y,13875.0,N,-4.430000000000007
2025-04-01 09:30:00,221.0,16650,-159.5500000000029,29925,-17700.0,Y,5250.0,N,-8.180000000000007
2025-04-01 09:35:00,0.0,0,0.0,0,0.0,N,0.0,YES,0.0
2025-04-01 09:40:00,0.0,0,0.0,0,0.0,N,0.0,N,0.0
2025-04-01 09:45:00,0.0,0,0.0,0,0.0,N,0.0,N,0.0
2025-04-01 09:50:00,0.0,0,0.0,0,0.0,N,0.0,N,0.0
2025-04-01 09:55:00,213.7,-2325,-162.60000000000582,32925,-20850.0,Y,10950.0,N,-1.490000000000009
2025-04-01 10:00:00,169.1,-16050,-173.35000000000582,38775,256425.0,YES,158550.0,Y,-71.96000000000001
2025-04-01 10:05:00,175.0,22800,-136.59999999999127,39375,20850.0,N,20850.0,N,0.950000000000017
2025-04-01 10:10:00,179.95,-35550,-142.25,38025,-6975.0,Y,-3375.0,YES,1.0999999999999943
2025-04-01 10:15:00,154.65,55350,-137.85000000000582,41400,-35700.0,Y,46350.0,Y,0.35000000000002274
2025-04-01 10:20:00,237.05,-38400,-145.64999999999418,39450,-21375.0,N,-240525.0,YES,3.1999999999999886
2025-04-01 10:25:00,286.05,-10350,-216.75,50700,-46725.0,Y,-14850.0,Y,6.219999999999999
2025-04-01 10:30:00,299.15,8850,-245.14999999997963,46500,-56925.0,Y,-6075.0,N,3.719999999999999
2025-04-01 10:35:00,269.45,6450,-229.2499999999709,38925,-12675.0,YES,2100.0,N,1.9499999999999886
2025-04-01 10:40:00,270.4,9450,-218.65000000000873,36000,-40875.0,Y,2175.0,N,0.8199999999999932
2025-04-01 10:45:00,283.3,-2100,-211.94999999998254,41325,-4575.0,YES,-10575.0,YES,1.0300000000000011
2025-04-01 10:50:00,286.6,24450,-224.35000000000582,40125,-1800.0,N,13800.0,Y,1.0600000000000023
2025-04-01 10:55:00,343.3,4350,-282.5,37950,-13800.0,Y,-40950.0,YES,3.299999999999983
2025-04-01 11:00:00,354.95,5100,-276.80000000001746,41850,-8325.0,N,4875.0,Y,1.2900000000000205
2025-04-01 11:05:00,359.9,10425,-257.79999999998836,36750,-4575.0,N,7125.0,N,1.0200000000000102
2025-04-01 11:10:00,359.0,-14700,-272.3999999999942,35700,-10500.0,Y,-11775.0,YES,0.9799999999999898
2025-04-01 11:15:00,344.85,-12975,-241.20000000001164,39000,1500.0,N,5100.0,N,0.5700000000000216
2025-04-01 11:20:00,337.5,-18225,-231.35000000000582,34650,13275.0,N,15975.0,N,0.44999999999998863
2025-04-01 11:25:00,345.6,-9300,-270.20000000001164,37050,-12000.0,Y,-5625.0,YES,0.7599999999999909
2025-04-01 11:30:00,366.55,-15150,-260.6000000000058,37275,-14100.0,Y,-17400.0,YES,0.8100000000000023
2025-04-01 11:35:00,383.55,-21075,-263.80000000001746,38025,3375.0,N,-8250.0,N,1.1099999999999852
2025-04-01 11:40:00,398.4,-13800,-267.0,37725,2850.0,Y,-9525.0,YES,0.8699999999999761
2025-04-01 11:45:00,386.95,-27825,-260.5,40425,0.0,Y,7425.0,N,0.8199999999999932
2025-04-01 11:50:00,400.8,-7425,-260.30000000004657,37800,-2025.0,Y,-750.0,YES,0.46000000000000796
2025-04-01 11:55:00,390.0,-16725,-239.84999999999127,29400,12675.0,N,-1425.0,YES,0.3400000000000034
2025-04-01 12:00:00,407.15,23475,-262.70000000001164,48225,375.0,Y,450.0,N,0.8400000000000034
2025-04-01 12:05:00,388.7,-17550,-235.1999999999971,35775,-10050.0,Y,4500.0,N,0.36000000000001364
2025-04-01 12:10:00,375.55,-5850,-255.90000000002328,31425,-3150.0,N,4875.0,N,0.5199999999999818
2025-04-01 12:15:00,342.25,3375,-255.69999999998254,43275,9825.0,N,7875.0,N,0.8100000000000023
2025-04-01 12:20:00,374.9,-17325,-265.45000000001164,34050,2100.0,Y,-12000.0,YES,0.4899999999999807
2025-04-01 12:25:00,374.25,-29250,-226.25,36900,1200.0,Y,-825.0,N,0.589999999999975
2025-04-01 12:30:00,350.85,-10350,-234.74999999998545,38250,-12975.0,Y,2025.0,N,0.410000000000025
2025-04-01 12:35:00,334.4,-1800,-238.5500000000029,42750,11700.0,YES,16950.0,N,0.44999999999998863
2025-04-01 12:40:00,357.15,7500,-239.60000000000582,32400,-7050.0,Y,-20325.0,YES,0.36000000000001364
2025-04-01 12:45:00,368.35,-5550,-253.64999999999418,30900,-2400.0,N,75.0,Y,0.3299999999999841
2025-04-01 12:50:00,371.55,4950,-231.75000000001455,27600,-975.0,N,-1950.0,YES,0.2400000000000091
2025-04-01 12:55:00,382.05,-14175,-243.10000000000582,35475,-2250.0,Y,-450.0,N,0.36000000000001364
2025-04-01 13:00:00,399.5,-10725,-260.0,38775,3150.0,N,-7125.0,YES,0.5799999999999841
2025-04-01 13:05:00,394.9,-17025,-234.35000000000582,32175,-525.0,Y,3150.0,N,0.28000000000000114
2025-04-01 13:10:00,385.3,6225,-238.6999999999971,30450,2475.0,N,4125.0,N,0.28000000000000114
2025-04-01 13:15:00,406.15,-5325,-265.5,32400,-1875.0,Y,-10575.0,YES,0.4099999999999966
2025-04-01 13:20:00,417.55,-11775,-300.6500000000233,34425,-6300.0,Y,825.0,N,0.4900000000000091
2025-04-01 13:25:00,424.75,16125,-299.49999999998545,30300,-1800.0,N,0.0,YES,0.3900000000000148
2025-04-01 13:30:00,413.0,18900,-321.55000000001746,39000,-13800.0,Y,5400.0,N,0.5900000000000034
2025-04-01 13:35:00,413.4,-5400,-288.84999999999127,36975,5250.0,N,525.0,YES,0.28999999999999204
2025-04-01 13:40:00,414.9,10275,-265.4499999999971,28425,-1575.0,Y,1875.0,N,0.3200000000000216
2025-04-01 13:45:00,422.45,18300,-275.25,30000,-1125.0,N,-1350.0,YES,0.3100000000000023
2025-04-01 13:50:00,412.1,12000,-266.75,36750,-975.0,N,-1425.0,YES,0.2600000000000193
2025-04-01 13:55:00,431.0,2850,-252.05000000001746,27900,-1575.0,Y,825.0,N,0.27000000000001023
2025-04-01 14:00:00,396.75,2550,-269.29999999998836,30375,-8100.0,Y,150.0,YES,0.21999999999999886
2025-04-01 14:05:00,424.0,600,-270.25,27075,-825.0,N,1500.0,N,0.28000000000000114
2025-04-01 14:10:00,419.85,2325,-226.79999999998836,18825,-2250.0,Y,2775.0,N,0.12999999999999545
2025-04-01 14:15:00,437.85,13725,-260.6000000000058,28200,3975.0,N,-6825.0,YES,0.22999999999998977
2025-04-01 14:20:00,425.25,7350,-252.85000000002037,27450,-3900.0,Y,3375.0,N,0.14999999999997726
