last_traded_time,ltp,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp.1,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty.1,tot_buy_qty.1,tot_buy_sig.1,tot_sell_qty.1,tot_sell_sig.1,avg_trade_price.1,ltp.2,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty.2,tot_buy_qty.2,tot_buy_sig.2,tot_sell_qty.2,tot_sell_sig.2,avg_trade_price.2,n_diff
01-04-2025 09:15,23532.0,29850,16.35,44100,218775,N,159375,N,17.87,23506.05,23532.0,22.85,-12150,-0.1,46500,4057950,N,446775,N,0.44,291.6,31425,-3.85,43875,1213575,N,54075,N,-22.48,42000
01-04-2025 09:20,23550.0,34125,-0.15,37425,41100,N,23175,N,3.42,23531.3,23550.0,24.75,-15750,0.05,51300,-1726650,YES,60225,N,0.44,281.25,-750,0.1,42975,3525,N,12225,N,-2.66,49875
01-04-2025 09:25,23585.35,300,-1.5,38325,28425,N,-4425,Y,5.09,23545.0,23585.35,30.4,-109875,0.0,54825,30600,Y,-29325,Y,0.59,248.0,-4500,-0.1,41325,-13350,Y,13875,N,-4.43,110175
01-04-2025 09:30,23619.0,-6975,3.6,30075,14250,N,9375,N,10.85,23585.35,23619.0,41.55,-70500,-0.1,48225,28350,N,-62475,Y,1.54,221.0,16650,-0.1,29925,-17700,Y,5250,N,-8.18,63525
01-04-2025 09:35,0.0,0,,0,0,YES,0,Y,0.0,0.0,0.0,0.0,0,,0,0,YES,0,YES,0.0,0.0,0,,0,0,N,0,YES,0.0,0
01-04-2025 09:40,0.0,0,,0,0,N,0,N,0.0,0.0,0.0,0.0,0,,0,0,N,0,N,0.0,0.0,0,,0,0,N,0,N,0.0,0
01-04-2025 09:45,0.0,0,,0,0,N,0,N,0.0,0.0,0.0,0.0,0,,0,0,N,0,N,0.0,0.0,0,,0,0,N,0,N,0.0,0
01-04-2025 09:50,0.0,0,,0,0,N,0,N,0.0,0.0,0.0,0.0,0,,0,0,N,0,N,0.0,0.0,0,,0,0,N,0,N,0.0,0
01-04-2025 09:55,23630.0,55125,-1.0,32775,1425,N,49350,YES,1.43,23630.0,23630.0,39.0,73500,-0.05,43050,60150,Y,31650,YES,0.18,213.7,-2325,0.05,32925,-20850,Y,10950,N,-1.49,-18375
01-04-2025 10:00,23593.25,23625,-2.25,52650,-2625,YES,62550,N,0.53,23630.0,23593.25,54.2,47325,-0.1,53025,-3268425,YES,255600,YES,27.35,169.1,-16050,-0.35,38775,256425,YES,158550,Y,-71.96,-23700
01-04-2025 10:05,23583.0,-13500,0.5,66900,-2250,N,25425,N,-0.01,23593.25,23583.0,49.85,-3600,0.1,46800,5775,Y,82500,N,-0.52,175.0,22800,-0.2,39375,20850,N,20850,N,0.95,-9900
01-04-2025 10:10,23575.0,-42975,-1.35,71550,-48375,YES,2550,Y,-0.38,23583.0,23575.0,44.9,3075,-0.1,49725,-1575,YES,93375,N,-0.71,179.95,-35550,-0.05,38025,-6975,Y,-3375,YES,1.1,-46050
01-04-2025 10:15,23610.0,97350,3.0,59100,42750,Y,-18675,Y,-0.11,23575.0,23610.0,54.4,70650,0.0,49125,135975,Y,-53550,Y,-0.56,154.65,55350,-0.1,41400,-35700,Y,46350,Y,0.35,26700
01-04-2025 10:20,23511.0,516375,-3.0,56100,-111375,YES,18150,YES,-3.55,23608.2,23511.0,30.75,-57675,-0.05,52125,-243750,YES,61050,YES,-1.68,237.05,-38400,-0.1,39450,-21375,N,-240525,YES,3.2,574050
01-04-2025 10:25,23454.8,97875,-2.25,39975,-40275,Y,60525,YES,-21.55,23510.25,23454.8,22.6,-103650,-0.05,67425,2657475,Y,179100,YES,-3.28,286.05,-10350,0.0,50700,-46725,Y,-14850,Y,6.22,201525
01-04-2025 10:30,23443.1,63000,1.05,36000,-13950,Y,14850,N,-11.76,23452.1,23443.1,21.35,250575,-0.05,61200,135525,N,106575,N,-2.67,299.15,8850,-0.3,46500,-56925,Y,-6075,N,3.72,-187575
01-04-2025 10:35,23466.0,22350,-0.05,34800,17850,Y,-2550,Y,-5.93,23443.1,23466.0,24.2,517425,0.0,56550,53775,N,-29475,Y,-1.15,269.45,6450,-0.1,38925,-12675,YES,2100,N,1.95,-495075
01-04-2025 10:40,23472.4,81000,1.95,38775,10500,N,15300,N,-3.09,23466.15,23472.4,25.1,80325,0.05,55350,66375,N,67425,YES,-0.82,270.4,9450,-0.05,36000,-40875,Y,2175,N,0.82,675
01-04-2025 10:45,23458.1,51975,-0.7,33900,42450,Y,5550,N,-1.93,23472.4,23458.1,23.5,113100,-0.05,62475,-67275,YES,88125,YES,-0.76,283.3,-2100,0.05,41325,-4575,YES,-10575,YES,1.03,-61125
01-04-2025 10:50,23457.7,32250,1.55,40650,7275,N,825,Y,-3.09,23458.1,23457.7,23.6,93450,-0.05,62325,63450,Y,-1050,Y,-0.57,286.6,24450,-5.68e-14,40125,-1800,N,13800,Y,1.06,-61200
01-04-2025 10:55,23403.55,150450,2.25,40650,-50400,YES,15300,N,-10.66,23457.7,23403.55,18.0,184875,0.05,59475,-327450,YES,154800,YES,-1.7,343.3,4350,-0.35,37950,-13800,Y,-40950,YES,3.3,-34425
01-04-2025 11:00,23384.15,16950,0.8,40200,-25500,Y,16050,N,-6.36,23403.55,23384.15,16.15,-773025,0.05,62700,-675,Y,107325,N,-0.73,354.95,5100,0.05,41850,-8325,N,4875,Y,1.29,789975
01-04-2025 11:05,23382.0,232500,1.85,35175,5025,Y,525,Y,-4.37,23384.15,23382.0,16.55,2257575,1.78e-15,77325,90375,Y,-136200,Y,-1.62,359.9,10425,0.1,36750,-4575,N,7125,N,1.02,-2025075
01-04-2025 11:10,23378.9,94500,1.8,40050,3900,N,15375,N,-4.06,23382.0,23378.9,15.75,855000,-0.05,69300,-69975,YES,91050,YES,-0.5,359.0,-14700,-0.05,35700,-10500,Y,-11775,YES,0.98,-760500
01-04-2025 11:15,23391.0,22575,-1.25,34650,15450,N,3975,N,-2.05,23377.1,23391.0,16.4,-533250,0.0,72825,42825,Y,64800,N,-0.42,344.85,-12975,0.25,39000,1500,N,5100,N,0.57,555825
01-04-2025 11:20,23401.1,43125,-0.9,28875,1800,YES,2550,Y,-1.78,23390.0,23401.1,17.1,-246825,-3.55e-15,65775,40650,N,94050,YES,-0.23,337.5,-18225,0.3,34650,13275,N,15975,N,0.45,289950
01-04-2025 11:25,23397.45,40800,0.75,34875,12750,N,13875,N,-2.06,23403.45,23397.45,17.2,-199875,-1.78e-15,72225,25725,N,-72750,Y,-0.3,345.6,-9300,-0.05,37050,-12000,Y,-5625,YES,0.76,240675
01-04-2025 11:30,23365.45,-17625,1.2,30300,-33750,YES,14625,N,-3.1,23397.25,23365.45,15.75,440100,0.05,72225,8100,N,33900,YES,-0.38,366.55,-15150,-0.1,37275,-14100,Y,-17400,YES,0.81,-457725
01-04-2025 11:35,23356.45,62850,-2.65,33225,-60450,YES,17175,N,-3.95,23365.9,23356.45,15.25,583425,-1.78e-15,60825,-115350,YES,57675,YES,-0.56,383.55,-21075,0.3,38025,3375,N,-8250,N,1.11,-520575
01-04-2025 11:40,23345.0,98400,0.35,32850,-18150,Y,19950,N,-2.96,23356.45,23345.0,15.2,526125,-1.78e-15,66225,84525,Y,-90525,Y,-0.38,398.4,-13800,-0.2,37725,2850,Y,-9525,YES,0.87,-427725
01-04-2025 11:45,23350.2,32625,1.8,32550,51975,Y,5400,N,-4.23,23344.7,23350.2,16.15,1440675,3.55e-15,78150,117450,Y,-75450,N,-0.35,386.95,-27825,0.35,40425,0,Y,7425,N,0.82,-1408050
01-04-2025 11:50,23335.0,-13200,2.05,36675,10875,N,-2250,Y,-1.86,23355.7,23335.0,14.7,703800,-1.78e-15,81525,-118875,YES,187500,YES,-0.27,400.8,-7425,0.05,37800,-2025,Y,-750,YES,0.46,-717000
