last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
28-04-2025 09:15,20.8,28.3,21.7,-76275,-1249,43875,120450,N,179325,N,41.74,24224.2,24245,28-04-2025 09:15,-1.5,-1.55,-1.7,29250,-61.5,34725,2250375,N,292050,N,6.65,28-04-2025 09:15,-22.35,-20.25,-20.25,1200,-175.4,33300,23175,N,42075,N,-21.95
28-04-2025 09:20,-26,-26.9,-27.4,-39600,-722,42750,60600,N,20775,N,0.01,24246,24220,28-04-2025 09:20,-9.15,-9,-9.05,32625,-58.35,41475,-2721375,YES,231825,N,-2.73,28-04-2025 09:20,17.4,17.6,17.6,-2250,-208.85,36225,-1142100,Y,25800,N,0.39
28-04-2025 09:25,29.2,27.8,27.2,-37650,-1365.6,39675,37125,N,-76125,Y,4.9,24221.5,24250.7,28-04-2025 09:25,4.6,5.55,5.5,8325,-60,43500,48075,Y,43350,N,-0.73,28-04-2025 09:25,-24.95,-26.8,-26.8,3375,-191.85,40650,228750,YES,11175,N,-6.15
28-04-2025 09:30,76.2,75.8,74.4,-235950,-1132.9,42150,68550,Y,-66825,N,14.24,24252.8,24329.9,28-04-2025 09:30,23.1,22.45,22.55,20925,-63.75,40650,93900,Y,-140550,Y,2.71,28-04-2025 09:30,-50.5,-49.05,-49.2,-4575,-162.9,40950,227775,N,48525,Y,-13.42
28-04-2025 09:35,29.8,33.5,31.2,-133875,-969.4,35925,38925,N,-42300,YES,20.66,24330,24361.2,28-04-2025 09:35,15.75,15.5,15.55,37575,-79.9,40650,38400,N,-8100,YES,8.18,28-04-2025 09:35,-21.5,-21.3,-21.25,-30000,-126.5,42975,527025,YES,72525,Y,-22.01
28-04-2025 09:40,-50.4,-50.6,-47,21750,-1242.5,32625,-44400,YES,62400,YES,6.33,24361.2,24315,28-04-2025 09:40,-19.65,-19.85,-19.9,105075,-80.4,43275,-44175,YES,229650,YES,2.14,28-04-2025 09:40,30.7,29.95,30.1,-46950,-130.45,40275,46950,N,-40050,YES,-8.29
28-04-2025 09:45,-4.4,-3,-0.4,12675,-1280.4,33225,4800,Y,21750,N,2.92,24315,24316.4,28-04-2025 09:45,-3.45,-3.65,-3.8,15675,-73.7,41925,-49650,YES,159975,N,0.89,28-04-2025 09:45,2,1.15,1.05,-14925,-131.2,35700,14025,N,15375,Y,-3.94
28-04-2025 09:50,3,1,3.6,-7875,-1127,30075,-2700,YES,73950,YES,1.68,24317.6,24327.8,28-04-2025 09:50,-1.55,-1.95,-1.85,1950,-71.55,39525,-34575,N,95850,N,0.05,28-04-2025 09:50,-3.5,-3.3,-3.4,600,-134.55,39900,4500,N,-9825,YES,-1.85
28-04-2025 09:55,30.8,26.3,26,-98100,-1559.2,34050,12450,N,-46650,Y,2.6,24325,24355.9,28-04-2025 09:55,10.65,10.95,10.85,-82200,-70,39000,117825,Y,-71625,Y,0.72,28-04-2025 09:55,-14.65,-14.9,-15.05,-10350,-128.4,35400,-20475,Y,40200,Y,-2.99
28-04-2025 10:00,-0.8,5,1,-28800,-1059.9,37050,22425,N,-7500,YES,3.47,24355.9,24355.1,28-04-2025 10:00,0.1,0.05,-0.05,-10650,-79.65,41925,65400,N,58575,YES,0.86,28-04-2025 10:00,-2.9,-2.95,-2.9,-37650,-121.95,39600,-423150,Y,34800,N,-2.63
