last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
25-04-2025 09:15,-19,-15.3,-14,-252150,-612.2,28050,16125,N,64200,N,6.19,24479.7,24460.7,25-04-2025 09:15,-10.95,-10.25,-10.4,43125,-78.9,36525,2493600,N,215025,N,0.12,25-04-2025 09:15,-4.35,-3.75,-3.75,-6750,-165.1,34125,73200,N,49800,N,-6.88
25-04-2025 09:20,-18.5,-14.6,-17.3,-3000,-1015.1,39675,28125,N,65025,N,-3.7,24463.1,24446,25-04-2025 09:20,-8.5,-8.3,-8.2,129225,-88.85,43575,69000,N,253125,YES,-4.22,25-04-2025 09:20,4.05,4.9,4.7,-16875,-201.75,41400,17700,N,25500,N,2.08
25-04-2025 09:25,-1,-2.6,-3.8,-42150,-1113.3,37275,-5400,YES,10350,N,-2.89,24446.4,24446.4,25-04-2025 09:25,0.95,0.85,0.85,48825,-84.6,43575,153150,Y,1575,Y,-1.32,25-04-2025 09:25,10.7,11.65,11.75,-28800,-209.45,39900,14550,N,-18525,YES,1.64
25-04-2025 09:30,-35.4,-37.3,-35,98625,-1128.7,34575,-22125,YES,24675,N,-7.35,24445.4,24410,25-04-2025 09:30,-10,-10.3,-10.4,185775,-76.4,41700,-105750,YES,171825,YES,-2.67,25-04-2025 09:30,23.5,23.7,23.85,16050,-221.1,43125,-13425,Y,-25050,YES,6.15
25-04-2025 09:35,-32.2,-33.1,-32.6,134475,-1085.7,37500,42225,Y,-2925,Y,-11.87,24408.2,24376,25-04-2025 09:35,-8.2,-7.6,-7.65,-84600,-74.05,40650,-104775,N,100275,N,-2.89,25-04-2025 09:35,19.9,19.85,19.7,-12675,-247.4,40575,-600,N,11850,Y,7.12
25-04-2025 09:40,-33.6,-33.1,-27.7,486150,-1162.4,42225,-25650,YES,36075,YES,-17.08,24375,24341.4,25-04-2025 09:40,-5.65,-5.95,-6,102900,-68.5,39975,37425,Y,149100,YES,-3.46,25-04-2025 09:40,25,25.65,25.85,-3600,-272.8,38775,-8250,Y,-42900,YES,7.02
25-04-2025 09:45,-46,-40.1,-45.4,52350,-1545.1,38625,24675,Y,63750,YES,-15.5,24348.7,24305,25-04-2025 09:45,-9.25,-8.95,-8.85,-4800,-65.4,41400,-19500,YES,94350,N,-3.39,25-04-2025 09:45,29.75,30.05,30.45,-23625,-304.2,39675,-9600,Y,9900,Y,9.01
25-04-2025 09:50,-40,-40.8,-37.4,579975,-1236.5,38025,17175,N,-41325,Y,-23.66,24300,24262.2,25-04-2025 09:50,-8.6,-8.5,-8.5,-80625,-57.6,41700,-46425,YES,21975,N,-3.25,25-04-2025 09:50,31.6,28.2,28.7,3000,-309.45,37425,-9675,Y,-7050,YES,6.36
25-04-2025 09:55,-49.3,-51.4,-49.2,71175,-1588.9,42000,17325,N,31800,YES,-23.98,24264.8,24218.7,25-04-2025 09:55,-6.65,-6.6,-6.65,-2925,-52.25,44400,116250,Y,-21975,Y,-3.89,25-04-2025 09:55,46.05,45.65,45.85,-16500,-395.5,36525,-5175,N,2475,N,8.78
25-04-2025 10:00,-116.7,-114.2,-111.9,677100,-1405.3,46500,-37650,YES,2250,Y,-39.04,24218.7,24103.8,25-04-2025 10:00,-8.2,-8.25,-8.3,34275,-46.2,46275,-131475,YES,6225,YES,-5.09,25-04-2025 10:00,107.55,108.85,109.35,-2325,-527.15,41550,-7350,Y,-34275,YES,12.51
25-04-2025 10:05,13.1,14.9,14.8,16425,-1492.3,39300,93450,Y,37275,YES,-24.49,24104.1,24112.1,25-04-2025 10:05,3.55,3.8,3.85,2250,-44.5,45225,104925,Y,13350,N,-3.02,25-04-2025 10:05,-7.2,-7.55,-7.7,-5775,-560.8,41250,-5400,N,6000,Y,8.01
