last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
29-10-2024 09:15:00,-1.8000000000029104,21165.0,105.0,30.0,8.700000000004366,11.25,6810,-1725.0,N,16170.0,N,-3.790000000000873
29-10-2024 09:20:00,-28.80000000000291,33555.0,0.0,-15.0,-20.25,-25.69999999999709,11520,11640.0,N,7245.0,N,-11.650000000001455
29-10-2024 09:25:00,7.44999999999709,41865.0,-45.0,90.0,14.39999999999418,15.549999999995634,10845,8295.0,N,-7380.0,Y,5.639999999999418
29-10-2024 09:30:00,-6.950000000004366,38520.0,870.0,0.0,-16.94999999999709,-10.549999999995634,10305,-3060.0,YES,-720.0,N,9.360000000000582
29-10-2024 09:35:00,-58.299999999995634,30900.0,15.0,-15.0,-55.650000000001455,-53.049999999995634,9975,-15360.0,YES,6510.0,N,-10.5
29-10-2024 09:40:00,27.349999999998545,31350.0,-30.0,15.0,28.25,34.0,9990,10770.0,Y,-10875.0,Y,-10.940000000002328
29-10-2024 09:45:00,45.650000000001455,22035.0,0.0,30.0,37.650000000001455,38.0,8415,-3270.0,YES,2355.0,N,0.11000000000058208
29-10-2024 09:50:00,37.55000000000291,27450.0,-90.0,-30.0,54.69999999999709,52.19999999999709,10095,-2235.0,N,-3720.0,Y,5.489999999997963
29-10-2024 09:55:00,24.94999999999709,16635.0,-30.0,225.0,28.05000000000291,25.900000000001455,8310,8790.0,N,1815.0,N,2.3099999999976717
29-10-2024 10:00:00,8.44999999999709,16755.0,0.0,-75.0,15.849999999998545,11.150000000001455,7830,-4515.0,YES,20295.0,N,3.2399999999979627
29-10-2024 10:05:00,-69.44999999999709,23625.0,0.0,90.0,-70.44999999999709,-71.5,9090,-555.0,N,-18660.0,Y,1.9700000000011642
29-10-2024 10:10:00,133.0,32400.0,0.0,-45.0,135.0500000000029,137.5500000000029,6990,6300.0,N,-9705.0,N,7.470000000001164
