last_traded_time,n_buy_corr,n_sell_corr,n_tb_ts,ce_buy_corr,ce_sell_corr,ce_tb_ts,pe_buy_corr,pe_sell_corr,pe_tb_ts,n_ltp_diff,n_buy_diff,n_sell_diff,ce_ltp_diff,ce_buy_diff,ce_sell_diff,pe_ltp_diff,pe_buy_diff,pe_sell_diff
02-04-2025 09:15,0.866160573,-0.401844499,-0.017345483,0.730661296,0.204334622,0.484304978,-0.418062557,-0.640469715,0.944074935,15.1,75825,-9450,3.7,69375,109875,-10.9,143625,62925
02-04-2025 09:20,0.79496988,-0.660653681,-0.862436374,-0.251868378,-0.49477142,0.348176923,0.05647699,-0.449841639,0.80550255,22.65,42525,-65325,13.75,-2459400,-33900,-1,65025,86850
02-04-2025 09:25,0.998450369,0.885508857,0.894332822,0.996490339,0.948085206,0.95975587,0.998420566,0.986000891,0.989218199,-11.55,18300,221400,1.85,29475,110625,8.7,26475,18000
02-04-2025 09:30,0.456628122,-0.040280779,0.627837953,0.9047559,-0.838192138,-0.792718402,0.093517693,-0.949251174,-0.046404894,-9.25,12975,23475,6.55,53250,-91575,11.25,-17325,-47325
02-04-2025 09:35,0.910832735,-0.952862451,-0.877460852,0.259422482,-0.727969589,-0.433607181,-0.123190687,-0.743604674,0.556858005,44.4,41925,-24375,29.75,-2925,-86625,-15.3,44100,63375
02-04-2025 09:40,0.397341053,0.314089888,0.827089421,0.306595516,0.622258495,0.296988415,-0.226818404,-0.276537643,0.941820381,7,17175,31125,8.6,-7200,99525,-2.3,139275,91125
02-04-2025 09:45,0.373009425,-0.069326361,0.513947332,0.633101303,-0.120436143,0.446863449,0.00713188,-0.592712819,0.499128311,-13.7,6975,20100,-7.65,6450,158925,4.35,49650,91425
02-04-2025 09:50,0.365741649,-0.232769748,-0.424831034,0.421769451,0.254561825,-0.084026459,0.201495971,-0.231080596,-0.294936531,-3.6,5100,2925,-0.2,-94350,24825,-0.4,15450,-2400
02-04-2025 09:55,0.391195756,-0.343118201,0.149342698,0.225410758,-0.292010281,0.707989827,0.638951732,-0.224373486,0.119681783,-2.4,6975,8475,-1.3,115575,71325,0.95,37350,58050
02-04-2025 10:00,0.61689854,-0.768320102,-0.302077054,0.812074474,-0.841657398,-0.743541526,0.546369633,-0.787583771,-0.393562289,-18.1,5400,18600,-9.8,-58425,24075,9.3,-61275,-56775
02-04-2025 10:05,0.402905857,-0.643909618,-0.149339363,-0.559516171,-0.702511372,0.667288377,0.265233093,-0.644991541,-0.000744772,-5.1,-3150,4125,-1.8,73050,54075,4.15,27750,6375
02-04-2025 10:10,0.92819542,-0.71348375,-0.586819616,0.912898104,-0.805210497,-0.759928109,0.327570685,-0.960255278,-0.163839378,-22.75,-23700,4875,-5.65,-116775,25875,19.2,-11700,-203400
02-04-2025 10:15,0.818347353,-0.46895826,-0.564689846,0.811732002,0.054161255,0.337268049,0.170402763,-0.112783659,0.560980538,12.1,21525,-9750,4.4,92175,71700,-8.1,-26325,-8925
02-04-2025 10:20,0.340098613,-0.776126923,-0.11672593,0.763123911,-0.816044928,-0.636448101,0.602982251,-0.620514945,-0.033513727,-10,3300,7800,-1.8,-7500,77625,6.6,-10125,-6450
02-04-2025 10:25,0.559985451,-0.338518963,-0.050529906,0.778353614,-0.781072926,-0.568112079,-0.318253076,-0.882989517,0.461862586,-15.25,-25425,-1425,-3.75,-97950,36450,14.45,-40125,-103950
02-04-2025 10:30,0.544950749,-0.003677291,-0.065620169,-0.014600793,-0.507315535,0.022665036,-0.351822582,-0.670866981,0.365155157,-16.75,-3675,1575,-2.5,52950,44325,15.1,-22500,-10275
02-04-2025 10:35,0.927656904,-0.667443431,-0.474442034,0.52559486,-0.731054366,-0.300795875,-0.799671754,-0.807130461,0.711226756,-54.9,-60975,6525,-11.5,-101550,80100,37.35,-32850,-27750
02-04-2025 10:40,0.773795069,0.088373764,0.520585953,0.73839716,-0.04110823,0.428864708,0.634512077,-0.510315845,-0.025829274,23.7,33375,7200,4.95,95925,31500,-14.2,-66675,4875
02-04-2025 10:45,0.124268641,-0.717201417,-0.082843768,0.790649305,-0.653461693,-0.494380929,0.740245471,0.050206706,-0.044350083,0.55,375,4425,-2.1,-10950,123600,-6.85,-450,8625
02-04-2025 10:50,0.487815357,0.09877839,-0.1026178,0.723901194,-0.254495013,0.112493332,0.086207302,0.009110715,-0.563033742,-7.8,1725,-10725,-3.2,5925,-25650,13.9,-5175,1875
02-04-2025 10:55,0.784331345,-0.150636024,-0.165213615,0.747451367,-0.6497323,-0.774375453,0.007710041,-0.342061453,-0.397020108,20.55,4200,-3000,-0.35,-19575,50250,-22.2,-5025,7575
02-04-2025 11:00,0.090887351,-0.086799878,-0.119743808,0.63401909,-0.428312744,0.091539731,0.438385618,-0.728936362,-0.434298992,19.8,-1200,2250,4.25,44925,34125,-20.3,-5625,22125
02-04-2025 11:05,0.354498959,0.186585641,0.13174096,0.583868014,-0.202313539,-0.559904873,-0.275371688,-0.504699541,0.752938026,17,29775,12075,2.6,17100,32025,-8.3,21600,10050
02-04-2025 11:10,0.212888202,-0.761110534,-0.127212283,0.603377976,-0.150531838,-0.248744868,0.113959506,-0.831965885,0.058606491,15.65,-7350,-19425,4.35,12675,-112125,-11.85,-19725,5325
02-04-2025 11:15,0.534971202,0.482631348,0.530559777,0.813689839,0.019812853,0.202540438,-0.374945064,-0.881719932,0.685675351,9,7650,16500,-0.8,5325,81750,-8.65,36300,33975
02-04-2025 11:20,0.542542388,-0.892864612,-0.342394979,0.753487437,-0.822724012,-0.493496918,0.426707104,-0.628273665,0.320210805,24.4,1650,-29325,6.45,35625,-132300,-12.1,1950,47100
02-04-2025 11:25,0.500559327,-0.640465084,-0.319029995,0.708668519,-0.254735882,0.224082505,0.857632977,-0.19112432,0.083648696,-18.35,1500,19275,-3.7,-89775,-1425,8.8,56625,6600
