last_traded_time,n_buy_corr,n_sell_corr,n_tb_ts,ce_buy_corr,ce_sell_corr,ce_tb_ts,pe_buy_corr,pe_sell_corr,pe_tb_ts,n_ltp_diff,n_buy_diff,n_sell_diff,ce_ltp_diff,ce_buy_diff,ce_sell_diff,pe_ltp_diff,pe_buy_diff,pe_sell_diff,percentage,,,,,
02-10-2025 10:45,0.771668323,0.06258849,0.099650288,0.885671004,-0.783929579,-0.654460603,-0.598103746,-0.892139671,0.657211985,-29.4,3225,2100,-8.05,-67275,97650,19.45,-3150,-19500,60.06026321,,2100,3225,3225,FALSE
02-10-2025 10:50,0.617386033,-0.154703586,0.107368859,0.851288685,-0.767051157,-0.623124001,0.763376317,-0.882151002,-0.568667744,21.8,9675,-5175,5.25,52200,-36075,-20.65,-6450,14550,59.27908205,,5175,9675,9675,FALSE
02-10-2025 10:55,0.151630191,-0.811198371,0.023819836,0.615554543,0.073450142,0.215250973,0.298051076,-0.610652173,-0.033883879,1.75,4650,675,0.6,25425,-3075,-2.95,-1500,12525,31.48323538,,675,4650,4650,FALSE
02-10-2025 11:00,0.175601748,-0.369336058,0.005072044,0.799385089,-0.839983785,-0.665405221,0.755052327,-0.159569439,0.108850569,2.4,-4350,6075,0.45,9525,-2625,1.75,-1725,1050,43.09173644,,6075,4350,6075,TRUE
02-10-2025 11:05,0.157595789,-0.553908906,0.006296741,0.377446293,-0.659520789,0.192494114,0.093924983,-0.086957327,0.480554659,-9,-1425,13125,0.4,10050,-10950,4.7,-5025,-16725,28.98555113,,13125,1425,13125,FALSE
02-10-2025 11:10,0.458767905,-0.632023646,-0.296191741,0.674535187,-0.728539303,-0.381531214,0.659173451,-0.683649261,-0.38039738,9.55,3450,1875,2.55,34875,-28050,-6.4,-8400,6450,54.38676765,,1875,3450,3450,FALSE
02-10-2025 11:15,-0.384854221,-0.437645008,0.43229732,-0.159397555,-0.69547266,0.701147391,0.47754982,0.466777245,0.793191001,-15.85,11025,3375,-4.15,20025,58575,9.3,11175,12525,50.53702469,,3375,11025,11025,FALSE
02-10-2025 11:20,0.076492577,-0.156722125,-0.554457398,0.536412339,-0.762688445,-0.240264784,-0.24325792,-0.823761471,0.355864858,-3.9,-2025,4275,-1.75,4050,39975,2.9,-750,-8850,41.66579908,,4275,2025,4275,FALSE
02-10-2025 11:25,0.430101477,-0.20194629,-0.444103187,0.796320415,-0.162426276,0.044756399,0.68566226,-0.896515296,-0.402690412,3.3,2550,-6300,-1.95,-37425,52800,-0.8,6075,7800,45.1613557,,6300,2550,6300,FALSE
02-10-2025 11:30,0.356164096,0.180361478,0.08188546,0.798152088,-0.55080983,-0.114622303,0.805836381,-0.787063639,-0.767137483,15,4725,-450,4.85,49050,-14175,-14.1,-4950,900,49.35591954,,450,4725,4725,FALSE
02-10-2025 11:35,0.356073668,-0.013375224,-0.285811858,0.728548888,-0.022303258,0.219464642,-0.117111137,-0.686100225,0.501010666,0.1,3750,-9225,-2,-35775,-24825,1.3,-6525,-1275,32.55332851,,9225,3750,9225,FALSE
02-10-2025 11:40,0.422047347,-0.649764267,-0.505987909,0.650132274,-0.556592071,-0.313382821,0.478538898,-0.774307368,-0.17044288,-9.95,-4125,75,-1.6,-19500,-9150,1.4,-12975,-3975,50.2355093,,75,4125,4125,FALSE
02-10-2025 11:45,-0.382507559,0.058237675,-0.027003254,0.522984861,-0.910857616,-0.249183112,0.608064731,0.000597679,0.242969591,-14,-2250,900,-4.25,-16275,62775,7.45,9750,-1125,33.36006752,,900,2250,2250,FALSE
02-10-2025 11:50,0.113302256,-0.500401424,-0.189678325,0.6825881,-0.757967072,-0.487707883,0.295549975,0.354555488,0.388555855,0.55,-11400,5625,-2.1,-33450,-150,-0.05,-3075,-525,41.89229309,,5625,11400,11400,FALSE
02-10-2025 11:55,0.861588931,0.435731932,0.519471639,0.881088574,-0.758500883,-0.84438541,0.612937724,-0.925692767,-0.447155673,-32,-29700,300,-5.1,-83475,19275,24.55,9975,-32325,69.8505948,,300,29700,29700,FALSE
02-10-2025 12:00,0.603359496,-0.272057535,-0.058307942,0.297829125,0.131538477,-0.391776646,0.034795389,-0.706018378,-0.282284784,-2.9,-20775,900,-2.45,30375,-39375,9,-9150,450,30.86630857,,900,20775,20775,FALSE
02-10-2025 12:05,-0.563864776,-0.72665315,0.67054668,0.394504073,-0.81930911,-0.553950828,0.417920986,-0.077614448,0.510224885,-1.45,8250,41100,-0.9,17850,-3300,0.3,7275,3225,52.60654373,,41100,8250,41100,FALSE
02-10-2025 12:10,0.672877825,-0.041423698,-0.452580661,-0.132962989,-0.741021921,0.286798607,0.889400499,-0.333607982,-0.31005192,8.95,600,8475,2,-1575,-26025,-2.8,-7725,4050,42.89695669,,8475,600,8475,FALSE
02-10-2025 12:15,0.666915899,-0.615032571,-0.644682353,0.752515999,-0.788933024,-0.614155503,0.551262646,-0.353181008,-0.102227573,-9.65,-12600,34350,-1.65,-18300,34500,13,5100,-11625,56.54340641,,34350,12600,34350,FALSE
02-10-2025 12:20,0.300236176,0.112912839,-0.415680967,0.573260836,-0.205353705,0.377580045,-0.221909335,-0.820413024,0.391095812,-23408.4,-401400,-1140225,2.4,74850,20100,-14.95,2625,21225,37.98269709,,1140225,401400,1140225,FALSE
02-10-2025 12:25,0.07757164,0.025960904,-0.575146762,0.562915267,-0.638626756,-0.488273967,0.454348165,-0.818514774,-0.326902387,11.15,-3975,8325,1.45,6000,975,-6.75,-75,8625,44.09178468,,8325,3975,8325,FALSE
02-10-2025 12:30,-0.271007808,-0.453601908,-0.410874688,0.939341839,-0.822581517,-0.832382236,0.025041953,-0.434635057,0.280373292,-11.2,1575,7725,-4.85,-49500,13050,4,-300,-3975,49.6648922,,7725,1575,7725,FALSE
02-10-2025 12:35,0.616978786,-0.348790547,-0.618963197,0.259798831,-0.810810353,-0.343180139,0.641395618,-0.313082589,0.190132918,-0.1,9675,-13125,1.95,13350,-26850,-1.8,-4575,-3075,46.03481087,,13125,9675,13125,TRUE
02-10-2025 12:40,0.39747397,-0.340337802,-0.361758664,0.693963377,-0.519138023,-0.073274427,0.481032907,-0.324694218,-0.296688607,8.15,375,-8925,1.1,-15825,-29250,-2.6,-6525,2925,38.7595777,,8925,375,8925,FALSE
02-10-2025 12:45,0.515228145,-0.795167173,-0.545186984,0.451784912,-0.50562345,0.424288419,-0.129098659,-0.508810209,0.731232451,-1.8,3675,525,-0.15,41550,37275,-4.05,2775,7050,51.18244891,,525,3675,3675,FALSE
02-10-2025 12:50,0.279227613,-0.897896949,-0.517398699,0.513144463,-0.489756055,0.263911898,0.579707449,-0.847486768,-0.562833752,-10,4725,17475,-2.25,7200,9225,8.85,825,-5775,55.01515162,,17475,4725,17475,FALSE
02-10-2025 12:55,-0.427757977,-0.00281917,-0.153547659,0.807181122,-0.760453991,-0.669786411,-0.419238359,0.046057544,-0.526557445,0,0,0,-0.75,-6075,25425,6.35,-7650,0,42.37110753,,0,0,0,FALSE
02-10-2025 13:00,0.194106119,-0.103397893,0.249785835,0.13729686,-0.308493114,-0.406453095,0.409643419,-0.425018428,-0.352663486,-3,9600,2175,-1.8,-5250,15375,4,675,-7875,28.74286942,,2175,9600,9600,FALSE
02-10-2025 13:05,0.458126024,-0.256250257,-0.474719544,0.434832337,-0.658668029,-0.328333547,0.201235719,-0.149182526,-0.268419037,6.85,-1650,1650,0.55,9525,-93450,-1.15,-7200,9450,35.8863002,,1650,1650,1650,TRUE
02-10-2025 13:10,-0.204219108,0.054419358,-0.07784169,0.606015724,-0.661746325,-0.734604723,0.198476458,0.083232297,-0.433427743,-0.3,-600,4575,-0.1,-4575,1500,-0.9,8025,-8325,33.93314919,,4575,600,4575,FALSE
02-10-2025 13:15,0.725990167,-0.375743385,-0.463922926,0.707569752,-0.128941795,-0.058854635,-0.373655495,-0.12108953,-0.064424121,-10.15,-4650,2700,-2.7,-26625,-24825,7.5,-6900,1050,33.55768676,,2700,4650,4650,FALSE
02-10-2025 13:20,0.719592689,0.028251372,-0.205133734,0.958381691,-0.223079515,-0.1479727,-0.1036004,-0.817418332,0.205903339,-10.9,-17400,5325,-2.55,-37275,-150,5.95,-5175,-3825,37.88148637,,5325,17400,17400,FALSE
02-10-2025 13:25,0.721651476,-0.300313616,-0.311199711,0.758901143,-0.863925029,-0.537531711,0.182073068,-0.623221189,-0.158535947,21.75,11850,4800,5.15,52875,-23925,-18,1650,27150,49.52614322,,4800,11850,11850,FALSE
02-10-2025 13:30,0.856776211,-0.25907757,-0.348987262,0.908294949,-0.901545931,-0.764308266,0.268325141,-0.925267794,-0.222061162,-32.75,-32475,5100,-6.65,-77100,44175,26.85,1350,-39975,60.60715872,,5100,32475,32475,FALSE
02-10-2025 13:35,0.776496233,-0.556336572,-0.605311233,0.796581641,0.128373621,0.474609585,-0.250681186,-0.867955686,0.28570666,13.75,8025,2400,1.25,63825,16125,-10.3,6675,8025,52.6894713,,2400,8025,8025,FALSE
02-10-2025 13:40,0.752964728,-0.689686315,-0.534922233,0.84384483,-0.877996094,-0.733599811,0.838360199,-0.789954235,-0.786720056,8.15,8925,-12000,3,23625,-33975,-7.75,-5025,10950,76.08942778,,12000,8925,12000,TRUE
02-10-2025 13:45,-0.107035553,-0.429773384,0.225519285,0.845953357,-0.950471958,-0.758065205,0.52480482,-0.415475018,-0.120655695,1.3,2625,-600,1.85,21075,-36375,-0.55,-2175,3300,48.64171415,,600,2625,2625,FALSE
02-10-2025 13:50,0.122474766,-0.888769862,0.143101617,-0.134002211,-0.896768517,0.415939386,0.895996609,0.66259716,0.679766088,10.85,-5025,-23400,5.25,-33600,-76425,-6.55,-5925,-525,53.77129128,,23400,5025,23400,FALSE
02-10-2025 13:55,0.083081675,-0.57743149,0.016096248,0.361812155,-0.370066869,0.432055456,0.528905364,-0.304358304,-0.010336955,-0.75,12975,4875,0.35,17550,47700,0.55,-4875,-75,29.82382795,,4875,12975,12975,FALSE
02-10-2025 14:00,0.709379099,-0.760914934,-0.382801312,0.53439648,-0.69120174,-0.523673593,0.819453829,-0.881146845,-0.748539019,-16.4,-600,6150,-5.05,-16125,27675,9,5400,-13950,67.23896502,,6150,600,6150,FALSE
02-10-2025 14:05,0.098324213,-0.5432611,-0.376158708,0.725619231,-0.787845618,-0.266761632,0.283640101,-0.647120254,-0.292597631,-3.45,-2925,-1950,-1.2,-17175,4275,1.95,-17925,-4275,44.68142764,,1950,2925,2925,FALSE
02-10-2025 14:10,0.570012043,0.222653355,0.271156488,0.532431315,-0.925195543,-0.495685507,0.203405517,-0.820350906,-0.114046509,-13.55,-9600,450,-2.3,2400,56400,10.85,-4950,-9000,46.16596869,,450,9600,9600,FALSE
02-10-2025 14:15,-0.098602938,0.302650947,-0.407257008,0.431448904,-0.383808917,0.100884425,0.200233023,-0.399940847,-0.102036779,1.85,-1275,6375,0.05,-3600,35025,-1.2,-2700,16425,26.96515319,,6375,1275,6375,FALSE
02-10-2025 14:20,0.749264179,-0.172086299,-0.337121353,-0.330559887,-0.825919609,0.541825682,-0.672755715,-0.796498961,0.675299811,-1.2,-12450,4350,-1.45,54900,19200,2.2,-75525,-11400,56.68146106,,4350,12450,12450,FALSE
02-10-2025 14:25,0.699615548,-0.777984509,-0.763521707,0.347496273,-0.202855487,-0.421244847,0.705331441,-0.700692341,-0.43994357,15,12825,-15300,2.4,23175,-6375,-9.9,-6300,975,56.20761913,,15300,12825,15300,TRUE
02-10-2025 14:30,0.239397542,-0.517421186,-0.059000775,-0.226567345,-0.294683876,-0.48080773,-0.141052666,-0.430758396,0.713798779,8.3,-1725,-7050,1.95,-15300,19800,-9.65,5550,6750,34.48320329,,7050,1725,7050,FALSE
02-10-2025 14:35,0.527463071,-0.825502733,-0.430721886,0.767962801,-0.7372661,-0.720283582,0.831607301,0.295307717,0.19008908,17,4800,-4725,3.05,16500,-34275,-10.3,-7725,-3450,59.18004743,,4725,4800,4800,TRUE
02-10-2025 14:40,0.425122826,-0.553938466,-0.165164529,-0.190919064,-0.513883897,0.244438949,0.571705307,-0.182973161,0.267143638,8.75,7200,-5400,2.35,23100,-59700,-6.05,10125,16725,34.61433151,,5400,7200,7200,TRUE
02-10-2025 14:45,0.449420313,-0.320261766,-0.349782653,0.271824836,-0.811740353,-0.216823792,0.432426645,-0.236627848,0.300645879,-2.95,6900,-4350,0.5,2625,-6900,-0.85,-4800,-7125,37.66171207,,4350,6900,6900,FALSE
02-10-2025 14:50,0.130670893,-0.376437801,-0.202284925,0.144963194,-0.139824928,-0.744419331,0.26955131,-0.078921402,-0.507805269,5,-3825,-3150,0.8,-53925,35700,-4.1,975,-3900,28.83198946,,3150,3825,3825,TRUE
02-10-2025 14:55,0.314103427,-0.86784951,-0.194786895,0.726793456,-0.763934027,-0.421169767,0.806281119,-0.527995801,-0.469896238,12.6,6825,-4050,2.65,-4200,-87750,-9.15,-8250,15600,56.58678044,,4050,6825,6825,FALSE
02-10-2025 15:00,0.390414126,-0.864685512,-0.435657709,0.365247747,-0.321204254,-0.272009188,0.761469406,-0.624099351,-0.299244143,-14,-12450,14850,-6.2,-18300,17250,7.7,12975,-10500,48.15590483,,14850,12450,14850,TRUE
02-10-2025 15:05,0.272003449,0.032520874,-0.349866286,0.855280953,-0.208930051,-0.116856729,-0.343421683,-0.741990093,0.021353332,-2.6,-6225,-8475,0.25,-6900,-35700,3.7,-5175,-5700,32.69137167,,8475,6225,8475,TRUE
02-10-2025 15:10,-0.102890715,-0.433752906,0.549308506,0.629957517,-0.81320463,-0.575147873,0.113277342,-0.030437803,0.642617466,6.4,-9525,-6150,-0.3,-43125,35700,-1.2,-2400,-6000,43.22883064,,6150,9525,9525,FALSE
02-10-2025 15:15,0.069756557,-0.750824496,-0.203365978,0.435429718,-0.104232441,0.063728403,0.704717685,-0.398836815,-0.672595592,-1.9,-3750,16500,-1.4,15900,-6225,0.1,1200,8775,37.81652983,,16500,3750,16500,FALSE
02-10-2025 15:20,0.489433535,-0.693624271,-0.672949491,0.225822444,-0.8563322,-0.132915557,0.135668661,-0.241013745,0.559826493,5.9,11850,-13275,2.25,-29850,-106875,-0.65,-10875,-20100,44.52873776,,13275,11850,13275,TRUE
02-10-2025 15:25,0.821648368,0.736661976,0.932342249,0.733695685,0.71025372,0.752099872,-0.373843608,-0.764013396,0.743985786,-4.25,-90900,-74475,-4.1,-1051425,-182400,1.55,-767100,-36300,72.98382955,,74475,90900,90900,TRUE
